City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,afaahiti,-17.75,-149.2833,26.93,82,84,8.53,PF,1715081454
83,al jawf,29.5,38.75,25.21,15,18,5.14,SA,1715081454
84,hawaiian paradise park,19.5933,-154.9731,20.57,94,20,2.06,US,1715081454
85,stanley,54.868,-1.6985,12.65,84,75,1.54,GB,1715081455
86,tabuk,17.4189,121.4443,27.2,73,13,3.29,PH,1715081455
87,yoloten,37.2989,62.3597,38.01,11,97,6.25,TM,1715081312
88,aasiaat,68.7098,-52.8699,-8.6,81,96,2.64,GL,1715081455
89,porto velho,-8.7619,-63.9039,24.03,94,100,1.03,BR,1715081404
90,daru,-9.0763,143.2092,26.82,86,100,7.84,PG,1715081455
91,west island,-12.1568,96.8225,27.99,74,40,5.66,CC,1715081455
92,camalu,30.85,-116.0667,12.71,92,0,1.95,MX,1715081456
93,blackmans bay,-43.0167,147.3167,12.07,85,100,0.97,AU,1715081456
94,badagry,6.4167,2.8833,32.82,62,82,4.54,NG,1715081456
95,chesma,53.8111,60.6533,11.32,37,52,5.1,RU,1715081456
96,sambava,-14.2667,50.1667,28.13,66,98,6.74,MG,1715081238
97,turpan,42.9333,89.1667,35.7,14,100,3.34,CN,1715081456
98,kerimaki,61.9167,29.2833,2.97,56,75,6.17,FI,1715081456
99,flying fish cove,-10.4217,105.6791,24.82,100,100,5.66,CX,1715081456
100,port mathurin,-19.6833,63.4167,25.45,71,91,12.41,MU,1715081457
101,tyukhtet,56.5389,89.3011,12.68,42,13,2.38,RU,1715081457
102,novosibirsk,55.0411,82.9344,16.61,23,0,5.0,RU,1715081294
103,tura,25.5198,90.2201,25.45,64,32,2.58,IN,1715081457
104,hovd,48.0056,91.6419,16.89,40,100,6.19,MN,1715081457
105,nguigmi,14.2495,13.1092,38.87,12,7,6.09,NE,1715081457
106,newman,37.3138,-121.0208,11.27,89,25,0.45,US,1715081393
107,chacabuco,-34.6417,-60.4739,16.01,96,100,2.02,AR,1715081343
108,douglas,41.3,-96.167,11.99,93,0,1.79,US,1715081457
109,urzhar,47.093,81.6294,22.82,47,2,0.94,KZ,1715081458
110,thompson,55.7435,-97.8558,2.09,87,40,4.12,CA,1715081458
111,mahina,-17.5065,-149.489,27.87,74,100,3.09,PF,1715081458
112,qarazhal,48.0078,70.7903,20.81,46,94,6.9,KZ,1715081458
113,altai,46.3722,96.2583,16.43,24,99,0.87,MN,1715081458
114,kununurra,-15.7667,128.7333,25.99,53,94,2.06,AU,1715081458
115,punta arenas,-53.15,-70.9167,1.01,93,0,1.03,CL,1715081168
116,paris,48.8534,2.3488,20.14,64,40,3.6,FR,1715080733
117,isafjordur,66.0755,-23.124,6.02,61,75,4.63,IS,1715081458
